SessionID,ProgramID,Topic,Date,Duration,Location
1,1,Nutrition in Pregnancy,3/15/2024,1:30:00 AM,Community Center
2,2,Managing Stress,4/20/2024,2:00:00 AM,Health Clinic
3,3,Exercise Safety,5/25/2024,1:00:00 AM,Local Gym
4,4,Birth Planning,6/30/2024,2:30:00 AM,Hospital Auditorium
5,5,Understanding Labor,7/10/2024,1:45:00 AM,Online Webinar
6,6,Postpartum Depression,8/15/2024,2:00:00 AM,Mental Health Center
7,7,Breastfeeding Basics,9/20/2024,1:15:00 AM,Health Clinic
8,8,Newborn Care,10/25/2024,1:30:00 AM,Community Hall
9,9,Family Planning,11/30/2024,1:00:00 AM,Family Center
10,10,Vaccination Importance,12/5/2024,1:20:00 AM,Public Library
